PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,TIPO-NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,WIKIDATA_BARRIO,COD-DISTRITO,DISTRITO,WIKIDATA_DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
16,"Ministerio de Educación, Formación Profesional y Deportes. Atención al ciudadano temas educativos",,"De lunes a viernes, 9 a 17:30 horas. Sin necesidad de cita previa.",,Consulta los enlaces siguientes,,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d91b29ea9281c010VgnVCM1000000b205a0aRCRD,CALLE LOS MADRAZO 17,V,28014.0,3.0,Cortes,https://wikidata.org/entity/Q2535637,1.0,Centro,https://wikidata.org/entity/Q1763376,440899.0,4474351.0,40.4176887473743,-3.69662640205303,910 837 937,,AdministracionCentral
20,Congreso de los Diputados,El Congreso de los Diputados está configurado por un complejo de cinco edificios con una superficie de cerca de setenta mil metros cuadrados.,,Visitas guiadas: https://www.congreso.es/es/cem/visita,"Metro: Sevilla (línea 2), Banco de España (línea 2).","Descripción monumental  El edificio fue construído por Pascual Colomer entre 1843 y 1850. Destaca su planta adaptada al edificio anterior y la conjugación de salas de diferente superficie, entre ellas el Salón de Sesiones, que es semicircular, cerrado por la tribuna de la presidencia. La fachada principal está compuesta por un potente pórtico clásico de orden corintio con frontón triangular. Los leones de bronce de la entrada y el relieve del frontón fueron realizados por Ponciano Ponzano. También destacan las pinturas interiores de Luis Ribera y Vicente Camarón.",Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=365f29ea9281c010VgnVCM1000000b205a0aRCRD,PLAZA CORTES 1,V,28014.0,3.0,Cortes,https://wikidata.org/entity/Q2535637,1.0,Centro,https://wikidata.org/entity/Q1763376,440893.0,4474178.0,40.4161304648474,-3.69668423360546,913 906 000,informacion@congreso.es,MonumentosEdificiosArtisticos
209,Alcaldía,Titular:  José Luis Martínez-Almeida Navasq&amp;uuml;és,,,"Metro: Banco de España (Línea 2)  Bus: E1, 203, 14, 27, 37, 45, C03, 1, 146, 15, 2, 20, 51, 52, 74, 9, 10, 34, 001  Bicimad: Estación 86 (Plaza Cibeles)  Aparcamiento: Montalbán (49), calle Montalbán (entre calle Alfonso XI y paseo Prado)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7324ff632081c010VgnVCM1000000b205a0aRCRD,CALLE MONTALBAN 1,V,28014.0,5.0,Jerónimos,https://wikidata.org/entity/Q10306766,3.0,Retiro,https://wikidata.org/entity/Q2002296,441281.0,4474416.0,40.4182914409802,-3.69213979278398,10,alcalde@madrid.es,AyuntamientoMadrid/GobiernoMunicipalAlcaldeJuntaGobierno
212,"Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad","Titular del Área:  Borja Carabante Muntada.  Competencias: le compete planeamiento urbanístico; gestión urbanística; licencias; control de la edificación; patrimonio municipal del suelo; gestión y vigilancia de la movilidad; retirada de vehículos y multas de tráfico; transportes y aparcamientos; control ambiental; zonas verdes; limpieza; gestión de residuos; calidad ambiental y sostenibilidad; agua; planificación de la movilidad; planificación y ejecución de las infraestructuras urbanas de la movilidad y del transporte, así como las relaciones con el Consorcio Regional de Transportes Públicos Regulares de Madrid. Del Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad, depende el Área  Delegada de Limpieza y Zonas Verdes.   Empresas y organismos adscritos:    Organismo Autónomo Agencia de Actividades Empresa Municipal de Transportes de Madrid,  S.A.   Consultar organigrama en información relacionada.",,"Para información urbanística pinchar en Información Urbana del Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad","Metro: Feria de Madrid (línea 8)  Bus: 112, 122, 73, 104",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66e8784e0cc4f010VgnVCM2000000c205a0aRCRD,CALLE RIBERA DEL SENA 21,V,28042.0,5.0,Corralejos,https://wikidata.org/entity/Q10260772,21.0,Barajas,https://wikidata.org/entity/Q807230,447632.0,4479217.0,40.4619751026748,-3.61767197505272,10,ag.umam@madrid.es,AyuntamientoMadrid/AreasGobierno
219,Dirección General de Planificación de Recursos Humanos,,,,"Metro: Delicias (línea 3), Palos de la Frontera (línea 3)  Renfe: Delicias (líneas C1 y C10), Atocha",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c455ff632081c010VgnVCM1000000b205a0aRCRD,CALLE BUSTAMANTE 16,V,28045.0,5.0,Las Delicias,https://wikidata.org/entity/Q3773736,2.0,Arganzuela,https://wikidata.org/entity/Q2000929,441594.0,4472433.0,40.4004598262705,-3.68826234690179,915 884 948,dgplanificacion@madrid.es,AyuntamientoMadrid/OtrasEntidadesAdministrativasAyto
332,Oficina Auxiliar de Atención a la Ciudadanía Aravaca (OAC). Línea Madrid Moncloa - Aravaca,"Las Oficinas de Atención a la Ciudadanía de Línea Madrid son equipamientos del Ayuntamiento de Madrid en los que se puede solicitar información sobre la ciudad y realizar múltiples gestiones, requiriendo alguna de ellas de cita previa. Se puede solicitar cita a través de los siguientes canales de Línea Madrid:   En Línea: accediendo al sistema municipal de cita previa y posteriormente seleccionando la gestión deseada  Telefónico: a través del teléfono gratuito 010, si llama desde la ciudad de Madrid, o del 914 800 010, si llama desde la ciudad de Madrid o desde fuera (se factura como cualquier otra llamada al municipio de Madrid, en función de las tarifas que tenga contratado el abonado llamante). Ambos teléfonos están operativos las 24 horas del día, los 7 días de la semana, los 365 días del año.     Redes sociales:   'X' (antiguoTwitter) @Lineamadrid.   Messenger de Facebook @Lineamadrid .    Chat en línea pulsando el icono &amp;ldquo;Chat on line Línea Madrid&amp;rdquo; que encontrará flotando en esta misma página.  Presencialmente en cualquiera de las Oficinas de Atención a la Ciudadanía.  Está prohibido el acceso de animales de compañía. Esta oficina cuenta con las siguientes ayudas de accesibilidad para personas con dificultades especiales:","Lunes a viernes laborables de 8:30 a 14 horas. Cerrado el mes de agosto, los sábados y los días 24 y 31 de diciembre.     AVISO: El último tique   podrá expedirse   15 minutos antes del horario de cierre,   a fin de poder atender a todas las personas en espera.     Atención en otros idiomas y lenguaje de signos ver apartado 'Servicios'. Los sábados no hay abierto ningún registro.",,"Bus: 160, 161",,"Accesible,Lengua de signos,Bucle de inducción magnético",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=367d29ea9281c010VgnVCM1000000b205a0aRCRD,CALLE ZARZA 20,V,28023.0,7.0,Aravaca,https://wikidata.org/entity/Q3314682,9.0,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,433370.0,4478937.0,40.4584363756688,-3.78585561766728,No se proporciona información telefónica. El teléfono de atención a la ciudadanía es el 010 (desde fuera del municipio de Madrid: 914 800 010),,AyuntamientoMadrid/OficinasMunicipalesRegistro
478,"IFEMA MADRID, Institución Ferial de Madrid","IFEMA MADRID es uno de los ejes clave del Madrid de los negocios y referente dentro del circuito internacional de la industria ferial y congresual. Desde su creación en 1980, IFEMA MADRID, consorcio constituido por el Ayuntamiento de Madrid, la Comunidad de Madrid, la Cámara de Comercio e Industria y la Fundación Montemadrid, ha desarrollado un importante papel como dinamizador de la economía y la actividad empresarial, generando riqueza en su entorno y promocionando la marca de Madrid, y por extensión de España, a escala internacional.  La actividad anual de IFEMA MADRID acoge cerca de 900 convocatorias de todos los sectores económicos, y cuenta con una cartera de más de 100 ferias y congresos especializados que dan soporte a los principales sectores económicos con los eventos celebrados su  Recinto Ferial y Palacio Municipal, ubicados en la zona del Campo de las Naciones. Además, IFEMA MADRID se ha convertido en un espacio de referencia en la capital para la celebración de grandes eventos de público, conciertos, festivales y espectáculos en espacios indoor y outdoor durante todo el año. El principal compromiso de IFEMA MADRID es generar riqueza, desarrollo y promoción internacional para la ciudad de Madrid, así como impulsar el crecimiento de la actividad empresarial. A lo largo de su historia, más de 100 millones de visitantes y alrededor de 760.000 empresas han sido partícipes de las más de 2.100 ferias celebradas en sus recintos, que han generado 20.000 millones de euros de impacto económico en la Comunidad de Madrid   Recomendaciones de acceso",,"Información de interés   13 Pabellones  200.000  m 2    cubiertos de exposición   2 Auditorios   2 Áreas de Convenciones (Norte y Sur)   85 Salas   2 Pasarelas   14000 Plazas de aparcamiento   Área central comercial y de servicios (Oficina de turismo dependiente de la Comunidad de Madrid, Correos, Agencias de Viajes...)   Restaurantes y cafeterías   El Recinto Ferial, situado en el epicentro de la Península Ibérica, cuenta con inmejorables conexiones por todas las vías a nivel nacional e internacional. Cuenta con más de 200.000 metros cuadrados cubiertos de exposición que reciben anualmente a más de 3,5 millones de visitantes de todo el mundo. El Recinto Ferial es uno de los mayores espacios de reuniones de todo el mundo, caracterizado por la calidad de sus prestaciones, la modalidad de su diseño y la funcionalidad, equipamiento y versatilidad de sus instalaciones. A esto se suma la amplia red de comunicaciones, con conexiones óptimas con el centro de Madrid, por carretera, autobús y Metro, además de sus amplias zonas de aparcamiento y la cercanía al Aeropuerto Adolfo Suárez Madrid-Barajas, uno de los más grandes de Europa.","Metro: Feria de Madrid (línea 8)  Bus: 73, 122, 112, 828",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ebc7f0d23c5f010VgnVCM1000000b205a0aRCRD,AVENIDA PARTENON 5,V,28042.0,5.0,Corralejos,https://wikidata.org/entity/Q10260772,21.0,Barajas,https://wikidata.org/entity/Q807230,447742.0,4479473.0,40.4642917478862,-3.61639276434999,917 223 000,,Consorcios
486,Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,,"De lunes a viernes, de 8 a 20 horas. (Desde las 19:30 horas no se expedirán tickets a las personas que vengan sin cita previa) Sábados, de 9 a 14 horas. (Desde las 13:30 horas no se expedirán tickets a las personas que vengan sin cita previa). Agosto: de lunes a viernes de 9 a 14 horas. 24 y 31 diciembre: de 9 a 14 horas (excepto si es domingo , en cuyo caso, la oficina permanerá cerrada). Los domingos y festivos la oficina permanecerá cerrada.  Cita previa",,Metro: Sevilla (línea 2),,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=635329ea9281c010VgnVCM1000000b205a0aRCRD,CARRERA SAN JERONIMO 13,V,28014.0,3.0,Cortes,https://wikidata.org/entity/Q2535637,1.0,Centro,https://wikidata.org/entity/Q1763376,440654.0,4474238.0,40.4166595334999,-3.69950959901615,12,,ComunidadMadrid
802,Círculo de Empresarios,,,,"Metro: ColónBus: 5, 14, 27, 45, 150",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0865085f5181c010VgnVCM1000000b205a0aRCRD,CALLE MARQUES DE VILLAMAGNA 3,V,28001.0,6.0,Castellana,https://wikidata.org/entity/Q4781,4.0,Salamanca,https://wikidata.org/entity/Q1773521,441662.0,4475643.0,40.4293824069115,-3.68776005025227,915 781 472,asociacion@circulodeempresarios.org,
965,Centro de Atención Temprana para menores María Isabel Zulueta. Fundación Síndrome de Down,,"Información:  De lunes a viernes de 9 a 20 horas. Julio, de lunes a viernes de 8 a 15 horas. Agosto cerrado.","El servicio de atención temprana está dirigido a niños y niñas de edades comprendidas entre los 0 y 6 años que presentan necesidades especiales, transitorias o permanentes, originadas por deficiencias, alteraciones en el desarrollo o riesgo de padecerlas. Este servicio es de carácter gratuito y consiste en un conjunto de intervenciones destinadas a favorecer el óptimo desarrollo y la máxima autonomía personal de los menores. Su objetivo es minimizar y, en su caso, eliminar los efectos de una alteración o discapacidad, así como la aparición de discapacidades añadidas, facilitando la plena inclusión familiar, escolar y social y la calidad de vida del menor y su familia. Más información en Comunidad de Madrid.","Metro: Duque de Pastrana (línea 9).  Bus: 107, 129, 70, 174, 14.  Bicimad: Estación 1286 - Plaza Duque Pastrana 1 (Plaza Duque Pastrana, 1)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6944085f5181c010VgnVCM1000000b205a0aRCRD,CALLE CAIDOS DE LA DIVISION AZUL 15,V,28016.0,6.0,Castilla,https://wikidata.org/entity/Q3813735,5.0,Chamartín,https://wikidata.org/entity/Q1766348,442960.0,4479791.0,40.4668389900904,-3.67282796193981,913 105 364,cat@downmadrid.org,CentrosAtencionSocialMenoresFamilias/CentrosAtencionTemprana
