PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,TIPO-NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
16,"Ministerio de Educación, Formación Profesional y Deportes. Atención al ciudadano temas educativos",,"De lunes a viernes, 9 a 17:30 horas. Sin necesidad de cita previa.",,Consulta los enlaces siguientes,,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d91b29ea9281c010VgnVCM1000000b205a0aRCRD,CALLE LOS MADRAZO 17,V,28014,3,CORTES,1,CENTRO,440899,4474351,404.176.887.473.743,-3.696.626.402.053.030,910 837 937,,"AdministracionCentral"
20,Congreso de los Diputados,El Congreso de los Diputados está configurado por un complejo de cinco edificios con una superficie de cerca de setenta mil metros cuadrados.,,Visitas guiadas: https://www.congreso.es/es/cem/visita,"Metro: Sevilla (línea 2), Banco de España (línea 2).","Descripción monumental  El edificio fue construído por Pascual Colomer entre 1843 y 1850. Destaca su planta adaptada al edificio anterior y la conjugación de salas de diferente superficie, entre ellas el Salón de Sesiones, que es semicircular, cerrado por la tribuna de la presidencia. La fachada principal está compuesta por un potente pórtico clásico de orden corintio con frontón triangular. Los leones de bronce de la entrada y el relieve del frontón fueron realizados por Ponciano Ponzano. También destacan las pinturas interiores de Luis Ribera y Vicente Camarón.",Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=365f29ea9281c010VgnVCM1000000b205a0aRCRD,PLAZA CORTES 1,V,28014,3,CORTES,1,CENTRO,440893,4474178,4.041.613.046.484.740,-36.966.842.336.054.600,913 906 000,informacion@congreso.es,"MonumentosEdificiosArtisticos"
209,Alcaldía,Titular:  José Luis Martínez-Almeida Navasq&amp;uuml;és,,,"Metro: Banco de España (Línea 2)  Bus: E1, 203, 14, 27, 37, 45, C03, 1, 146, 15, 2, 20, 51, 52, 74, 9, 10, 34, 001  Bicimad: Estación 86 (Plaza Cibeles)  Aparcamiento: Montalbán (49), calle Montalbán (entre calle Alfonso XI y paseo Prado)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7324ff632081c010VgnVCM1000000b205a0aRCRD,CALLE MONTALBAN 1,V,28014,5,LOS JERONIMOS,3,RETIRO,441281,4474416,40.418.291.440.980.200,-369.213.979.278.398,10,alcalde@madrid.es,"AyuntamientoMadrid/GobiernoMunicipalAlcaldeJuntaGobierno"
212,"Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad","Titular del Área:  Borja Carabante Muntada.  Competencias: le compete planeamiento urbanístico; gestión urbanística; licencias; control de la edificación; patrimonio municipal del suelo; gestión y vigilancia de la movilidad; retirada de vehículos y multas de tráfico; transportes y aparcamientos; control ambiental; zonas verdes; limpieza; gestión de residuos; calidad ambiental y sostenibilidad; agua; planificación de la movilidad; planificación y ejecución de las infraestructuras urbanas de la movilidad y del transporte, así como las relaciones con el Consorcio Regional de Transportes Públicos Regulares de Madrid. Del Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad, depende el Área  Delegada de Limpieza y Zonas Verdes.   Empresas y organismos adscritos:    Organismo Autónomo Agencia de Actividades Empresa Municipal de Transportes de Madrid,  S.A.   Consultar organigrama en información relacionada.",,"Para información urbanística pinchar en Información Urbana del Área de Gobierno de Urbanismo, Medio Ambiente y Movilidad","Metro: Feria de Madrid (línea 8)  Bus: 112, 122, 73, 104",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66e8784e0cc4f010VgnVCM2000000c205a0aRCRD,CALLE RIBERA DEL SENA 21,V,28042,5,CORRALEJOS,21,BARAJAS,447632,4479217,40.461.975.102.674.800,-36.176.719.750.527.200,10,ag.umam@madrid.es,"AyuntamientoMadrid/AreasGobierno"
219,Dirección General de Planificación de Recursos Humanos,,,,"Metro: Delicias (línea 3), Palos de la Frontera (línea 3)  Renfe: Delicias (líneas C1 y C10), Atocha",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c455ff632081c010VgnVCM1000000b205a0aRCRD,CALLE BUSTAMANTE 16,V,28045,5,DELICIAS,2,ARGANZUELA,441594,4472433,4.040.045.982.627.050,-36.882.623.469.017.900,915 884 948,dgplanificacion@madrid.es,"AyuntamientoMadrid/OtrasEntidadesAdministrativasAyto"
332,Oficina Auxiliar de Atención a la Ciudadanía Aravaca (OAC). Línea Madrid Moncloa - Aravaca,"Las Oficinas de Atención a la Ciudadanía de Línea Madrid son equipamientos del Ayuntamiento de Madrid en los que se puede solicitar información sobre la ciudad y realizar múltiples gestiones, requiriendo alguna de ellas de cita previa. Se puede solicitar cita a través de los siguientes canales de Línea Madrid:   En Línea: accediendo al sistema municipal de cita previa y posteriormente seleccionando la gestión deseada  Telefónico: a través del teléfono gratuito 010, si llama desde la ciudad de Madrid, o del 914 800 010, si llama desde la ciudad de Madrid o desde fuera (se factura como cualquier otra llamada al municipio de Madrid, en función de las tarifas que tenga contratado el abonado llamante). Ambos teléfonos están operativos las 24 horas del día, los 7 días de la semana, los 365 días del año.     Redes sociales:   'X' (antiguoTwitter) @Lineamadrid.   Messenger de Facebook @Lineamadrid .    Chat en línea pulsando el icono &amp;ldquo;Chat on line Línea Madrid&amp;rdquo; que encontrará flotando en esta misma página.  Presencialmente en cualquiera de las Oficinas de Atención a la Ciudadanía.  Está prohibido el acceso de animales de compañía. Esta oficina cuenta con las siguientes ayudas de accesibilidad para personas con dificultades especiales:","Lunes a viernes laborables de 8:30 a 14 horas. Cerrado el mes de agosto, los sábados y los días 24 y 31 de diciembre.     AVISO: El último tique   podrá expedirse   15 minutos antes del horario de cierre,   a fin de poder atender a todas las personas en espera.     Atención en otros idiomas y lenguaje de signos ver apartado 'Servicios'. Los sábados no hay abierto ningún registro.",,"Bus: 160, 161",,"Accesible,Lengua de signos,Bucle de inducción magnético",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=367d29ea9281c010VgnVCM1000000b205a0aRCRD,CALLE ZARZA 20,V,28023,7,ARAVACA,9,MONCLOA-ARAVACA,433370,4478937,404.584.363.756.688,-3.785.855.617.667.280,No se proporciona información telefónica. El teléfono de atención a la ciudadanía es el 010 (desde fuera del municipio de Madrid: 914 800 010),,"AyuntamientoMadrid/OficinasMunicipalesRegistro"
478,"IFEMA MADRID, Institución Ferial de Madrid","IFEMA MADRID es uno de los ejes clave del Madrid de los negocios y referente dentro del circuito internacional de la industria ferial y congresual. Desde su creación en 1980, IFEMA MADRID, consorcio constituido por el Ayuntamiento de Madrid, la Comunidad de Madrid, la Cámara de Comercio e Industria y la Fundación Montemadrid, ha desarrollado un importante papel como dinamizador de la economía y la actividad empresarial, generando riqueza en su entorno y promocionando la marca de Madrid, y por extensión de España, a escala internacional.  La actividad anual de IFEMA MADRID acoge cerca de 900 convocatorias de todos los sectores económicos, y cuenta con una cartera de más de 100 ferias y congresos especializados que dan soporte a los principales sectores económicos con los eventos celebrados su  Recinto Ferial y Palacio Municipal, ubicados en la zona del Campo de las Naciones. Además, IFEMA MADRID se ha convertido en un espacio de referencia en la capital para la celebración de grandes eventos de público, conciertos, festivales y espectáculos en espacios indoor y outdoor durante todo el año. El principal compromiso de IFEMA MADRID es generar riqueza, desarrollo y promoción internacional para la ciudad de Madrid, así como impulsar el crecimiento de la actividad empresarial. A lo largo de su historia, más de 100 millones de visitantes y alrededor de 760.000 empresas han sido partícipes de las más de 2.100 ferias celebradas en sus recintos, que han generado 20.000 millones de euros de impacto económico en la Comunidad de Madrid   Recomendaciones de acceso",,"Información de interés   13 Pabellones  200.000  m 2    cubiertos de exposición   2 Auditorios   2 Áreas de Convenciones (Norte y Sur)   85 Salas   2 Pasarelas   14000 Plazas de aparcamiento   Área central comercial y de servicios (Oficina de turismo dependiente de la Comunidad de Madrid, Correos, Agencias de Viajes...)   Restaurantes y cafeterías   El Recinto Ferial, situado en el epicentro de la Península Ibérica, cuenta con inmejorables conexiones por todas las vías a nivel nacional e internacional. Cuenta con más de 200.000 metros cuadrados cubiertos de exposición que reciben anualmente a más de 3,5 millones de visitantes de todo el mundo. El Recinto Ferial es uno de los mayores espacios de reuniones de todo el mundo, caracterizado por la calidad de sus prestaciones, la modalidad de su diseño y la funcionalidad, equipamiento y versatilidad de sus instalaciones. A esto se suma la amplia red de comunicaciones, con conexiones óptimas con el centro de Madrid, por carretera, autobús y Metro, además de sus amplias zonas de aparcamiento y la cercanía al Aeropuerto Adolfo Suárez Madrid-Barajas, uno de los más grandes de Europa.","Metro: Feria de Madrid (línea 8)  Bus: 73, 122, 112, 828",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ebc7f0d23c5f010VgnVCM1000000b205a0aRCRD,AVENIDA PARTENON 5,V,28042,5,CORRALEJOS,21,BARAJAS,447742,4479473,40.464.291.747.886.200,-36.163.927.643.499.900,917 223 000,,"Consorcios"
486,Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,,"De lunes a viernes, de 8 a 20 horas. (Desde las 19:30 horas no se expedirán tickets a las personas que vengan sin cita previa) Sábados, de 9 a 14 horas. (Desde las 13:30 horas no se expedirán tickets a las personas que vengan sin cita previa). Agosto: de lunes a viernes de 9 a 14 horas. 24 y 31 diciembre: de 9 a 14 horas (excepto si es domingo , en cuyo caso, la oficina permanerá cerrada). Los domingos y festivos la oficina permanecerá cerrada.  Cita previa",,Metro: Sevilla (línea 2),,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=635329ea9281c010VgnVCM1000000b205a0aRCRD,CARRERA SAN JERONIMO 13,V,28014,3,CORTES,1,CENTRO,440654,4474238,40.416.659.533.499.900,-3.699.509.599.016.150,12,,"ComunidadMadrid"
802,Círculo de Empresarios,,,,"Metro: ColónBus: 5, 14, 27, 45, 150",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0865085f5181c010VgnVCM1000000b205a0aRCRD,CALLE MARQUES DE VILLAMAGNA 3,V,28001,6,CASTELLANA,4,SALAMANCA,441662,4475643,4.042.938.240.691.150,-3.687.760.050.252.270,915 781 472,asociacion@circulodeempresarios.org,
965,Centro de Atención Temprana para menores María Isabel Zulueta. Fundación Síndrome de Down,,"Información:  De lunes a viernes de 9 a 20 horas. Julio, de lunes a viernes de 8 a 15 horas. Agosto cerrado.","El servicio de atención temprana está dirigido a niños y niñas de edades comprendidas entre los 0 y 6 años que presentan necesidades especiales, transitorias o permanentes, originadas por deficiencias, alteraciones en el desarrollo o riesgo de padecerlas. Este servicio es de carácter gratuito y consiste en un conjunto de intervenciones destinadas a favorecer el óptimo desarrollo y la máxima autonomía personal de los menores. Su objetivo es minimizar y, en su caso, eliminar los efectos de una alteración o discapacidad, así como la aparición de discapacidades añadidas, facilitando la plena inclusión familiar, escolar y social y la calidad de vida del menor y su familia. Más información en Comunidad de Madrid.","Metro: Duque de Pastrana (línea 9).  Bus: 107, 129, 70, 174, 14.  Bicimad: Estación 1286 - Plaza Duque Pastrana 1 (Plaza Duque Pastrana, 1)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6944085f5181c010VgnVCM1000000b205a0aRCRD,CALLE CAIDOS DE LA DIVISION AZUL 15,V,28016,6,CASTILLA,5,CHAMARTIN,442960,4479791,4.046.683.899.009.040,-36.728.279.619.398.100,913 105 364,cat@downmadrid.org,"CentrosAtencionSocialMenoresFamilias/CentrosAtencionTemprana"
1085,Centro de Educación Especial Numen,,,Transporte - Comedor,BUS: 146,Enseñanzas  Educación especial:  Educación infantil  Educación Básica Obligatoria  Transición vida adulta  En la misma dirección se encuentra la Asociación NUMEN para padres de alumnos afectados cerebrales,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f94d1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE TABATINGA 11,V,28027,8,EL SALVADOR,20,SAN BLAS-CANILLEJAS,446329,4477250,40.444.162.574.153.300,-36.328.920.823.469.900,917 432 191,numen@fundacionnumen.org,"CentrosEducacion/CentrosPrivadosConcertadosEducacionEspecial"
1143,Centro de día y centro ocupacional Manos Tendidas Arganzuela,,,Centro de día y centro ocupacional para personas con discapacidad intelectual.,"Metro: Legazpi (línea 3, 6)  Bus: 62, 148, 156, T32  Bicimad: Estación 270 (Calle Teresa López Valcárcel esq. Teniente Coronel Noreña)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9ce1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE RICARDO DAMAS 3,V,28045,4,LEGAZPI,2,ARGANZUELA,441037,4470952,40.387.080.871.048.800,-36.946.832.916.098.500,914 671 670 (centro de día) / 918 711 538 /  914 671 670 (residencia),,"CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad"
1417,ATENPACE Centro de rehabilitación para jóvenes y adultos paralíticos cerebrales,,,Centro de rehabilitación para personas con discapacidad física.,"Metro: Peñagrande, Avenida de la Ilustración (línea 7)   Bus: 64, 83, 133",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f25376172d71c010VgnVCM1000000b205a0aRCRD,CALLE ISLAS MARQUESAS 27,V,28035,3,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,438435,4480885,4.047.636.911.532.910,-37.263.082.350.685.400,913 167 446,,"CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad"
1632,Unión de Ciudades Capitales Iberoamericanas (UCCI),Organización internacional de carácter municipal no gubernamental.,"De lunes a jueves, de 9 a 17:30 horas. Viernes, de 9 a 15 horas.",Wifi,"Metro: Banco de España (Línea 2)  Bus: E1, 203, 14, 27, 37, 45, C03, 1, 146, 15, 2, 20, 51, 52, 74, 9, 10, 34, 001  Bicimad: Estación 86 (Plaza Cibeles)  Aparcamiento: Montalbán (49), calle Montalbán (entre calle Alfonso XI y paseo Prado)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e831ff632081c010VgnVCM1000000b205a0aRCRD,CALLE MONTALBAN 1,V,28014,5,LOS JERONIMOS,3,RETIRO,441281,4474416,4.041.830.214.040.600,-3.692.131.774.719.940,915 889 693,ucci@ciudadesiberoamericanas.org,"OrganismosInternacionales/OtrosOrganismosInternacionales"
1636,Subdirección General de Estadística,,"De lunes a viernes, de 09:00 a 13:30 horas.",,"METRO: Chueca (Línea 5), Banco de España (Línea 2) CERCANIAS: Recoletos (C1, C2, C7, C8 y C10) BICIMAD: Estación 58 (Calle Augusto Figueroa, 33)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7f11e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE AUGUSTO FIGUEROA 36,V,28004,4,JUSTICIA,1,CENTRO,440948,4474815,4.042.187.126.984.390,-3.696.101.837.965.900,,datoscensales@madrid.es / estadistica@madrid.es,"AyuntamientoMadrid/OtrasEntidadesAdministrativasAyto"
1681,Almacén de Villa,"En el Almacén de Villa se depositan muebles y enseres que, como consecuencia de lanzamientos por desahucios o con motivo de derribos forzosos, hundimientos, incendios o cualquier otra causa, ocupasen la vía pública, contraviniendo las ordenanzas municipales. También se depositan  muebles y enseres a instancia de algún órgano municipal como consecuencia de un procedimiento de ejecución subsidiaria por ocupación no autorizada de la vía pública: mobiliario de terrazas, carteles, etc. Para retirar los depósitos hay que abonar la Tasa por Prestación de Servicios de Retirada, Transporte y Almacenaje en el Almacén de Villa, de conformidad con lo estipulado en la Ordenanza Fiscal de la referida Tasa, cuando no sea aplicable la prevista reducción del 100%. Las personas propietarias de los bienes depositados en el Almacén de Villa tienen derecho:   A ser informadas sobre las condiciones del depósito así como de los requisitos para su retirada.  A que sus muebles y enseres se custodien con la máxima diligencia y en condiciones que impidan su deterioro.  A retirar prendas de ropa o documentos personales en las condiciones recogidas en el Reglamento de gestión de los bienes muebles depositados en el Almacén de Villa.  A recibir sus muebles y enseres en las mismas condiciones en que fueron depositados en el Almacén de Villa, sin perjuicio de lo previsto en el Reglamento.  Para ver la ubicación concreta de esta instalación se puede consultar el plano adjunto.","De lunes a viernes de 8:30 a 14:30 horas. Cerrado los días 24 y 31 de diciembre. Horario de verano, de 15 de junio a 15 de septiembre, y en la semana de San Isidro de 8:30 a 14 horas.  Para depósito y retirada de mobiliario, enseres y otros efectos, personarse una hora antes del cierre. Antes de personarse para recuperar el mobiliario depositado como consecuencia de una ejecución subsidiaria se recomienda ponerse en contacto con el Almacén de Villa a efectos de constatar su entrada en esta dependencia.",,Cercanías Renfe: Vicálvaro (C2)  Metro: Puerta de Arganda (línea 9)  Autobús: línea SE 718 Puerta Arganda-Cañada Real (parada 4050 Pirotecnia-Ahumados),,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f68f76172d71c010VgnVCM1000000b205a0aRCRD,CALLE AHUMAOS 27,V,28052,1,CASCO H.VICALVARO,19,VICALVARO,449259,4471684,40.394.217.911.016.500,-35.978.817.131.516.200,916 748 880,,"AyuntamientoMadrid/OtrasEntidadesAdministrativasAyto"
