MAGNITUD,SAME_AS_WIKIDATA_type_of_chemical_entity,PUNTO_MUESTREO,ID_TIEMPO,MEDIDA
sulfur dioxide,https://wikidata.org/entity/Q5282,28079004,2023-01-01,1
carbon monoxide,https://wikidata.org/entity/Q2025,28079004,2023-01-01,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079004,2023-01-01,28
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079004,2023-01-01,35
NOx,https://wikidata.org/entity/Q20962970,28079004,2023-01-01,79
sulfur dioxide,https://wikidata.org/entity/Q5282,28079008,2023-01-01,3
carbon monoxide,https://wikidata.org/entity/Q2025,28079008,2023-01-01,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079008,2023-01-01,9
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079008,2023-01-01,38
PM 2.5,https://wikidata.org/entity/Q48035814,28079008,2023-01-01,14
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079008,2023-01-01,22
NOx,https://wikidata.org/entity/Q20962970,28079008,2023-01-01,52
ozone,https://wikidata.org/entity/Q36933,28079008,2023-01-01,23
batra,https://wikidata.org/entity/Q411087,28079008,2023-01-01,0.7
nitric oxide,https://wikidata.org/entity/Q207843,28079011,2023-01-01,5
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079011,2023-01-01,36
NOx,https://wikidata.org/entity/Q20962970,28079011,2023-01-01,43
batra,https://wikidata.org/entity/Q411087,28079011,2023-01-01,0.8
nitric oxide,https://wikidata.org/entity/Q207843,28079016,2023-01-01,4
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079016,2023-01-01,28
NOx,https://wikidata.org/entity/Q20962970,28079016,2023-01-01,34
ozone,https://wikidata.org/entity/Q36933,28079016,2023-01-01,17
nitric oxide,https://wikidata.org/entity/Q207843,28079017,2023-01-01,56
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079017,2023-01-01,60
NOx,https://wikidata.org/entity/Q20962970,28079017,2023-01-01,146
ozone,https://wikidata.org/entity/Q36933,28079017,2023-01-01,12
nitric oxide,https://wikidata.org/entity/Q207843,28079018,2023-01-01,27
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079018,2023-01-01,41
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079018,2023-01-01,38
NOx,https://wikidata.org/entity/Q20962970,28079018,2023-01-01,82
ozone,https://wikidata.org/entity/Q36933,28079018,2023-01-01,14
batra,https://wikidata.org/entity/Q411087,28079018,2023-01-01,0.3
nitric oxide,https://wikidata.org/entity/Q207843,28079024,2023-01-01,5
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079024,2023-01-01,27
PM 2.5,https://wikidata.org/entity/Q48035814,28079024,2023-01-01,12
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079024,2023-01-01,28
NOx,https://wikidata.org/entity/Q20962970,28079024,2023-01-01,34
ozone,https://wikidata.org/entity/Q36933,28079024,2023-01-01,21
batra,https://wikidata.org/entity/Q411087,28079024,2023-01-01,1.3
nitric oxide,https://wikidata.org/entity/Q207843,28079027,2023-01-01,10
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079027,2023-01-01,35
NOx,https://wikidata.org/entity/Q20962970,28079027,2023-01-01,51
ozone,https://wikidata.org/entity/Q36933,28079027,2023-01-01,16
sulfur dioxide,https://wikidata.org/entity/Q5282,28079035,2023-01-01,6
carbon monoxide,https://wikidata.org/entity/Q2025,28079035,2023-01-01,400.0
nitric oxide,https://wikidata.org/entity/Q207843,28079035,2023-01-01,17
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079035,2023-01-01,37
NOx,https://wikidata.org/entity/Q20962970,28079035,2023-01-01,63
ozone,https://wikidata.org/entity/Q36933,28079035,2023-01-01,22
sulfur dioxide,https://wikidata.org/entity/Q5282,28079036,2023-01-01,2
nitric oxide,https://wikidata.org/entity/Q207843,28079036,2023-01-01,14
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079036,2023-01-01,33
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079036,2023-01-01,22
NOx,https://wikidata.org/entity/Q20962970,28079036,2023-01-01,55
nitric oxide,https://wikidata.org/entity/Q207843,28079038,2023-01-01,6
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079038,2023-01-01,37
PM 2.5,https://wikidata.org/entity/Q48035814,28079038,2023-01-01,9
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079038,2023-01-01,16
NOx,https://wikidata.org/entity/Q20962970,28079038,2023-01-01,46
batra,https://wikidata.org/entity/Q411087,28079038,2023-01-01,1.4
nitric oxide,https://wikidata.org/entity/Q207843,28079039,2023-01-01,10
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079039,2023-01-01,37
NOx,https://wikidata.org/entity/Q20962970,28079039,2023-01-01,53
ozone,https://wikidata.org/entity/Q36933,28079039,2023-01-01,22
nitric oxide,https://wikidata.org/entity/Q207843,28079040,2023-01-01,8
nitrogen dioxide,https://wikidata.org/entity/Q207895,28079040,2023-01-01,32
PM10 (including PM 2.5),https://wikidata.org/entity/Q48035511,28079040,2023-01-01,20
NOx,https://wikidata.org/entity/Q20962970,28079040,2023-01-01,45
nitric oxide,https://wikidata.org/entity/Q207843,28079047,2023-01-01,18
