num_expediente,fecha_hora,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,num_participante
2023S040280,2024-01-04T14:09:00Z,16,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Lluvia débil,Motocicleta hasta 125cc,Conductor,2,Ingreso inferior o igual a 24 horas,40.48170647294613,-3.649939204312384,0,0,"1"
2023S040280,2024-01-04T14:09:00Z,16,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Lluvia débil,Turismo,Conductor,14,Sin asistencia sanitaria,40.48170647294613,-3.649939204312384,0,0,"2"
2023S040309,2024-02-15T14:05:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,7,Asistencia sanitaria sólo en el lugar del accidente,40.42500925285452,-3.705859622020892,0,0,"1"
2023S040309,2024-02-15T14:05:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Lluvia débil,Motocicleta hasta 125cc,Conductor,14,Sin asistencia sanitaria,40.42500925285452,-3.705859622020892,0,0,"2"
2023S040310,2024-02-18T10:40:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.4299739165587,-3.705746478211553,0,0,"1"
2023S040310,2024-02-18T10:40:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.4299739165587,-3.705746478211553,0,0,"2"
2023S040312,2024-02-25T17:20:00Z,6,Tetuán,https://wikidata.org/entity/Q1773540,Colisión lateral,Despejado,Camión rígido,Conductor,14,Sin asistencia sanitaria,40.46948080840106,-3.699412480357652,0,0,"1"
2023S040312,2024-02-25T17:20:00Z,6,Tetuán,https://wikidata.org/entity/Q1773540,Colisión lateral,Despejado,Maquinaria de obras,Conductor,14,Sin asistencia sanitaria,40.46948080840106,-3.699412480357652,0,0,"2"
2023S040316,2024-03-07T14:25:00Z,10,Latina,https://wikidata.org/entity/Q794954,Alcance,Lluvia débil,Furgoneta,Conductor,77,Se desconoce,40.36421575748803,-3.7775406608504567,0,0,"1"
2023S040316,2024-03-07T14:25:00Z,10,Latina,https://wikidata.org/entity/Q794954,Alcance,Lluvia débil,Turismo,Conductor,77,Se desconoce,40.36421575748803,-3.7775406608504567,0,0,"2"
2023S040319,2024-03-27T08:10:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Choque contra obstáculo fijo,Se desconoce,Turismo,Conductor,77,Se desconoce,40.45234005291916,-3.7422208203519767,0,0,"1"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"1"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"2"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"3"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"4"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Pasajero,1,Atención en urgencias sin posterior ingreso,40.41471631232449,-3.660915787195241,0,0,"5"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"6"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"7"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"8"
2024S000001,2024-01-01T01:20:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Colisión múltiple,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.41471631232449,-3.660915787195241,0,0,"9"
2024S000002,2024-01-01T02:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.392806588493734,-3.668690264610782,1,0,"1"
2024S000002,2024-01-01T02:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.392806588493734,-3.668690264610782,0,0,"2"
2024S000002,2024-01-01T02:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.392806588493734,-3.668690264610782,0,0,"3"
2024S000002,2024-01-01T02:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.392806588493734,-3.668690264610782,0,0,"4"
2024S000002,2024-01-01T02:45:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.392806588493734,-3.668690264610782,0,0,"5"
2024S000004,2024-01-01T02:00:00Z,14,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.41233228142595,-3.653985746683337,0,0,"1"
2024S000004,2024-01-01T02:00:00Z,14,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.41233228142595,-3.653985746683337,0,0,"2"
2024S000005,2024-01-01T02:45:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión frontal,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.37354228818007,-3.7443592734019773,1,0,"1"
2024S000005,2024-01-01T02:45:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión frontal,Despejado,Turismo,Conductor,77,Se desconoce,40.37354228818007,-3.7443592734019773,0,0,"2"
2024S000005,2024-01-01T02:45:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión frontal,Despejado,Turismo,Conductor,77,Se desconoce,40.37354228818007,-3.7443592734019773,0,0,"3"
2024S000010,2024-01-01T07:20:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.4214379296884,-3.704997147435281,0,0,"1"
2024S000010,2024-01-01T07:20:00Z,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.4214379296884,-3.704997147435281,0,0,"2"
2024S000012,2024-01-01T08:05:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión lateral,Se desconoce,Turismo,Conductor,77,Se desconoce,40.37861965175172,-3.742141555156781,0,0,"1"
2024S000012,2024-01-01T08:05:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión lateral,Se desconoce,Turismo,Conductor,77,Se desconoce,40.37861965175172,-3.742141555156781,0,0,"2"
2024S000013,2024-01-01T07:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.432397531719204,-3.6755548311335065,0,0,"1"
2024S000013,2024-01-01T07:35:00Z,4,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Despejado,Turismo,Peatón,7,Asistencia sanitaria sólo en el lugar del accidente,40.432397531719204,-3.6755548311335065,0,0,"2"
2024S000015,2024-01-01T07:35:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.431966112889924,-3.689120368266914,0,0,"1"
2024S000015,2024-01-01T07:35:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Choque contra obstáculo fijo,Despejado,VMU eléctrico,Conductor,14,Sin asistencia sanitaria,40.431966112889924,-3.689120368266914,1,0,"2"
2024S000018,2024-01-01T07:40:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión múltiple,Nublado,Furgoneta,Conductor,77,Se desconoce,40.46043604713827,-3.71118402209618,0,0,"1"
2024S000018,2024-01-01T07:40:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión múltiple,Nublado,Turismo,Conductor,77,Se desconoce,40.46043604713827,-3.71118402209618,0,0,"2"
2024S000018,2024-01-01T07:40:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión múltiple,Nublado,Turismo,Conductor,77,Se desconoce,40.46043604713827,-3.71118402209618,0,0,"3"
2024S000018,2024-01-01T07:40:00Z,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión múltiple,Nublado,Turismo,Conductor,77,Se desconoce,40.46043604713827,-3.71118402209618,0,0,"4"
2024S000022,2024-01-01T12:25:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Choque contra obstáculo fijo,Despejado,Motocicleta hasta 125cc,Conductor,77,Se desconoce,40.452979048691994,-3.6808556115030178,0,0,"1"
2024S000022,2024-01-01T12:25:00Z,5,Chamartín,https://wikidata.org/entity/Q1766348,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.452979048691994,-3.6808556115030178,0,0,"2"
2024S000025,2024-01-01T15:45:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Alcance,Despejado,Autobús,Conductor,14,Sin asistencia sanitaria,40.38793293299994,-3.732582603182565,0,0,"1"
2024S000025,2024-01-01T15:45:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,14,Sin asistencia sanitaria,40.38793293299994,-3.732582603182565,0,0,"2"
